,car,glass,plate,truck,Vehicles,Dinnerware,closer2vehicles,closer2dinnerware,,,,,c2v,c2d
30,0.002046466,0.001613796,0.002617955,0.001979113,0.002012789,0.002115875,TRUE,FALSE,,1,0,,,
31,0.001839459,0.002315879,0.002204537,0.001839101,0.00183928,0.002260208,TRUE,FALSE,,1,0,,,
32,0.001785874,0.002674878,0.002520263,0.001456738,0.001621306,0.00259757,TRUE,FALSE,,1,0,,,
33,0.002367496,0.003799558,0.002143681,0.002414942,0.002391219,0.002971619,TRUE,FALSE,,1,0,,,
34,0.002432585,0.003437161,0.002778471,0.002616107,0.002524346,0.003107816,TRUE,FALSE,,1,0,,,
35,0.002263129,0.002538085,0.004021943,0.001877427,0.002070278,0.003280014,TRUE,FALSE,,1,0,,,
36,0.002289474,0.002020478,0.001653433,0.002803624,0.002546549,0.001836956,FALSE,TRUE,,0,1,,,
37,0.004972041,0.00301832,0.003540277,0.003739297,0.004355669,0.003279299,FALSE,TRUE,,0,1,,,
38,0.002999783,0.003659189,0.003348053,0.004150093,0.003574938,0.003503621,FALSE,TRUE,,0,1,,,
39,0.002383649,0.001936197,0.001845419,0.002202272,0.002292961,0.001890808,FALSE,TRUE,,0,1,,,
40,0.002848268,0.002230465,0.002851844,0.002384663,0.002616465,0.002541155,FALSE,TRUE,,0,1,,,
41,0.003027737,0.004400969,0.005303562,0.002688944,0.002858341,0.004852265,TRUE,FALSE,,1,0,,,
42,0.002467871,0.002151489,0.00223279,0.002981722,0.002724797,0.00219214,FALSE,TRUE,,0,1,,,
43,0.003075898,0.003368556,0.00342685,0.002948225,0.003012061,0.003397703,TRUE,FALSE,,1,0,,,
44,0.001687467,0.002932191,0.002589345,0.002972245,0.002329856,0.002760768,TRUE,FALSE,,1,0,,,
45,0.001615345,0.003161848,0.002273381,0.003051698,0.002333522,0.002717614,TRUE,FALSE,,1,0,,,
46,0.002349854,0.002027214,0.002104938,0.002092302,0.002221078,0.002066076,FALSE,TRUE,,0,1,,,
47,0.003591597,0.003426671,0.002611935,0.004283786,0.003937691,0.003019303,FALSE,TRUE,,0,1,,,
48,0.004236877,0.003218293,0.004217207,0.004560292,0.004398584,0.00371775,FALSE,TRUE,,0,1,,,
49,0.00178659,0.002682507,0.002699256,0.003501177,0.002643883,0.002690881,TRUE,FALSE,,1,0,,,
50,0.004200697,0.002574444,0.003254294,0.004703581,0.004452139,0.002914369,FALSE,TRUE,,0,1,,,
51,0.002674758,0.003565192,0.003033221,0.003114939,0.002894849,0.003299206,TRUE,FALSE,,1,0,,,
52,0.003593922,0.004404247,0.006410658,0.004301786,0.003947854,0.005407453,TRUE,FALSE,,1,0,,,
53,0.003936172,0.005841792,0.003703773,0.003589988,0.00376308,0.004772782,TRUE,FALSE,,1,0,,,
54,0.00292021,0.00396961,0.001899004,0.002881408,0.002900809,0.002934307,TRUE,FALSE,,1,0,,,
55,0.001800001,0.001685321,0.001939535,0.002658606,0.002229303,0.001812428,FALSE,TRUE,,0,1,,,
56,0.001691818,0.003396392,0.002580106,0.00202477,0.001858294,0.002988249,TRUE,FALSE,,1,0,,,
57,0.002948701,0.003290236,0.003001571,0.00254184,0.002745271,0.003145903,TRUE,FALSE,,1,0,,,
58,0.003939688,0.004430413,0.00386107,0.001767099,0.002853394,0.004145741,TRUE,FALSE,,1,0,,,
59,0.002500117,0.003413081,0.002770305,0.002858758,0.002679437,0.003091693,TRUE,FALSE,,1,0,,,
60,0.002532423,0.003456056,0.002727509,0.002526045,0.002529234,0.003091782,TRUE,FALSE,,1,0,,,
61,0.003555655,0.003398478,0.003325462,0.002871156,0.003213406,0.00336197,TRUE,FALSE,,1,0,,,
62,0.003225744,0.004230857,0.00315696,0.002628803,0.002927274,0.003693908,TRUE,FALSE,,1,0,,,
63,0.001766145,0.002949774,0.002705574,0.002089977,0.001928061,0.002827674,TRUE,FALSE,,1,0,,,
64,0.002434313,0.003155828,0.003410161,0.003070116,0.002752215,0.003282994,TRUE,FALSE,,1,0,,,
